USDA报告月份,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
5月,40.7,41.5,42.1,42.6,42.9,43.4,43.9,44.5,45.2,46,46.7,48,48.5,49.5,49.8,50.8,51.5,52,52,
6月,40.7,41.5,42.1,42.6,42.9,43.4,43.9,44.5,45.2,46,46.7,48,48.5,49.5,49.8,50.8,51.5,52,52,
7月,40.7,41.5,41.6,42.6,42.9,43.4,40.5,44.5,45.2,46,46.7,48,48.5,48.5,49.8,50.8,51.5,52,52,
8月,39.6,41.5,40.5,41.7,44,41.4,36.1,42.6,45.4,46.9,48.9,49.4,51.6,48.5,53.3,50,51.9,50.9,53.2,
9月,41.8,41.4,40,42.3,44.7,41.8,35.3,41.2,46.6,47.1,50.6,49.9,52.8,47.9,51.9,50.6,50.5,50.1,53.2,
10月,42.8,41.4,39.5,42.4,44.4,41.5,37.8,43,47.1,47.2,51.4,49.5,53.1,46.9,51.9,51.5,49.8,49.6,52.1,
11月,43,41.3,39.3,43.3,43.9,41.3,39.3,43,47.5,48.3,52.5,49.5,52.1,46.9,50.7,51.2,50.2,49.9,51.7,
12月,43,41.3,39.3,43.3,43.9,41.3,39.3,43.3,47.5,48.3,52.5,49.5,52.1,46.9,50.7,51.2,50.2,49.9,51.7,
次1月,42.7,41.2,39.6,44,43.5,41.5,39.6,43.3,47.8,48,52.1,49.1,,47.4,50.2,51.4,49.5,50.6,50.7,
次2月,42.7,41.2,39.6,44,43.5,41.5,39.6,43.3,47.8,48,52.1,49.1,51.6,47.4,50.2,51.4,49.5,50.6,50.7,
次3月,42.7,41.2,39.6,44,43.5,41.5,39.6,43.3,47.8,48,52.1,49.1,51.6,47.4,50.2,51.4,49.5,50.6,,
次4月,42.7,41.2,39.6,44,43.5,41.5,39.6,43.3,47.8,48,52.1,49.1,51.6,47.4,50.2,51.4,49.5,50.6,,
最终单产,42.7,41.7,39.7,44,43.5,,39.8,44,47.5,48,52,49.3,50.6,47.4,51,51.7,49.6,50.6,,
