USDA报告月份,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年
5月,6.83,7.16,7.95,8.41,8.49,8.83,9.97,10.30,10.33,10.07,9.50,9.24,10.22,10.05,9.88,10.47,12.06,12.16,#REF!,
6月,6.83,7.16,7.95,8.41,8.49,8.83,9.97,10.30,10.33,10.07,9.50,9.24,10.22,10.05,9.88,10.47,12.06,12.16,#REF!,
7月,6.83,7.16,8.05,8.41,8.49,8.83,10.80,10.30,10.33,10.07,9.50,9.24,10.22,10.26,9.88,10.47,12.06,12.16,#REF!,
8月,7.02,7.16,8.26,8.59,8.27,9.25,12.12,10.76,10.28,9.88,9.07,8.98,9.61,10.26,9.23,10.63,11.96,12.42,#REF!,
9月,6.65,7.18,8.37,8.47,8.15,9.16,12.40,11.12,10.02,9.84,8.76,8.89,9.39,10.39,9.48,10.51,12.29,12.62,#REF!,
10月,6.50,7.18,8.47,8.45,8.20,9.23,11.58,10.66,9.91,9.82,8.63,8.96,9.34,10.61,9.48,10.32,12.47,12.75,#REF!,
11月,6.47,7.19,8.52,8.27,8.29,9.27,11.13,10.66,9.83,9.59,8.45,8.96,9.52,10.61,9.70,10.38,12.37,12.67,#REF!,
12月,6.47,7.19,8.52,8.27,8.29,9.27,11.13,10.58,9.83,9.59,8.45,8.96,9.52,10.61,9.70,10.38,12.37,12.67,#REF!,
次年1月,6.51,7.21,8.45,8.14,8.37,9.23,11.05,10.58,9.76,9.65,8.51,9.03,9.61,10.50,9.80,10.34,12.54,12.49,#REF!,
次年2月,6.51,7.21,8.45,8.14,8.37,9.23,11.05,10.58,9.76,9.65,8.51,9.03,9.61,10.50,9.80,10.34,12.54,12.49,#REF!,
次年3月,6.51,7.21,8.45,8.14,8.37,9.23,11.05,10.58,9.76,9.65,8.51,9.03,9.61,10.50,9.80,10.34,12.54,12.49,#REF!,
次年4月,6.51,7.21,8.45,8.14,8.37,9.23,11.05,10.58,9.76,9.65,8.51,9.03,9.61,10.50,9.80,10.34,12.54,12.49,#REF!,
最终单产,6.51,7.12,8.43,8.14,8.37,9.14,10.99,10.42,9.83,9.65,8.53,9.00,9.80,10.50,9.64,10.28,12.52,12.25,,
